rel_id,key,value
REL:uses:RS-allocation->RS-core,uafRelationship,uses
REL:uses:RS-allocation->RS-testkit,uafRelationship,uses
REL:uses:RS-allocation->RS-testkit,kind,dev
REL:uses:RS-analytics->RS-coord,uafRelationship,uses
REL:uses:RS-analytics->RS-data,uafRelationship,uses
REL:uses:RS-analytics->RS-geo,uafRelationship,uses
REL:uses:RS-analytics->RS-model,uafRelationship,uses
REL:uses:RS-analytics->RS-sensor-management,uafRelationship,uses
REL:uses:RS-analytics->RS-config,uafRelationship,uses
REL:uses:RS-analytics->RS-config,kind,dev
REL:uses:RS-api->RS-model,uafRelationship,uses
REL:uses:RS-api->RS-eventing,uafRelationship,uses
REL:uses:RS-api->RS-security,uafRelationship,uses
REL:uses:RS-api->RS-tracking-service,uafRelationship,uses
REL:uses:RS-api->RS-intercept-service,uafRelationship,uses
REL:uses:RS-api->RS-analytics,uafRelationship,uses
REL:uses:RS-app->RS-coord,uafRelationship,uses
REL:uses:RS-app->RS-tracking-service,uafRelationship,uses
REL:uses:RS-app->RS-intercept-service,uafRelationship,uses
REL:uses:RS-app->RS-remote,uafRelationship,uses
REL:uses:RS-app->RS-resilience,uafRelationship,uses
REL:uses:RS-app->RS-identification,uafRelationship,uses
REL:uses:RS-app->RS-identity,uafRelationship,uses
REL:uses:RS-app->RS-data,uafRelationship,uses
REL:uses:RS-app->RS-data-fusion,uafRelationship,uses
REL:uses:RS-app->RS-render,uafRelationship,uses
REL:uses:RS-app->RS-viewport3d,uafRelationship,uses
REL:uses:RS-app->RS-ui,uafRelationship,uses
REL:uses:RS-app->RS-model,uafRelationship,uses
REL:uses:RS-app->RS-config,uafRelationship,uses
REL:uses:RS-app->RS-mission,uafRelationship,uses
REL:uses:RS-app->RS-eventing,uafRelationship,uses
REL:uses:RS-app->RS-store,uafRelationship,uses
REL:uses:RS-app->RS-time,uafRelationship,uses
REL:uses:RS-app->RS-ingest,uafRelationship,uses
REL:uses:RS-app->RS-observability,uafRelationship,uses
REL:uses:RS-app->RS-workflow,uafRelationship,uses
REL:uses:RS-app->RS-security,uafRelationship,uses
REL:uses:RS-app->RS-policy,uafRelationship,uses
REL:uses:RS-app->RS-command,uafRelationship,uses
